year,state,total,male,female
1978,AL,5625,5368,257
1978,AK,712,678,34
1978,AZ,3456,3275,181
1978,AR,2654,2553,101
1978,CA,21325,20178,1147
1978,CO,2486,2419,67
1978,CT,3189,3044,145
1978,DE,1325,1261,64
1978,DC,2864,2784,80
1978,FL,21436,20572,864
1978,GA,11317,10762,555
1978,HI,727,690,37
1978,ID,802,772,30
1978,IL,11258,10918,340
1978,IN,4923,4754,169
1978,IA,1982,1909,73
1978,KS,2341,2243,98
1978,KY,3390,3279,111
1978,LA,7291,7083,208
1978,ME,711,695,16
1978,MD,7966,7722,244
1978,MA,2806,2724,82
1978,MI,14944,14323,621
1978,MN,1954,1878,76
1978,MS,2896,2785,111
1978,MO,5637,5455,182
1978,MT,690,675,15
1978,NE,1347,1264,83
1978,NV,1350,1274,76
1978,NH,283,277,6
1978,NJ,5869,5693,176
1978,NM,1593,1526,67
1978,NY,20459,19899,560
1978,NC,13252,12718,534
1978,ND,200,196,4
1978,OH,13107,12569,538
1978,OK,4186,4010,176
1978,OR,2879,2757,122
1978,PA,7814,7585,229
1978,RI,664,648,16
1978,SC,7536,7234,302
1978,SD,532,514,18
1978,TN,5835,5574,261
1978,TX,24575,23570,1005
1978,UT,911,875,36
1978,VT,441,430,11
1978,VA,8344,7985,359
1978,WA,4487,4251,236
1978,WV,1237,1208,29
1978,WI,3432,3285,147
1978,WY,433,414,19
1978,ST,277473,266555,10918
1978,US,307276,294530,12746
1978,FE,29803,27975,1828
1979,AL,5464,5221,243
1979,AK,760,729,31
1979,AZ,3749,3573,176
1979,AR,3042,2927,115
1979,CA,22632,21400,1232
1979,CO,2668,2587,81
1979,CT,4061,3919,142
1979,DE,1419,1355,64
1979,DC,2973,2899,74
1979,FL,19748,18919,829
1979,GA,12106,11556,550
1979,HI,856,809,47
1979,ID,830,796,34
1979,IL,11935,11469,466
1979,IN,5667,5475,192
1979,IA,2272,2176,96
1979,KS,2290,2208,82
1979,KY,3691,3550,141
1979,LA,7618,7382,236
1979,ME,776,758,18
1979,MD,7860,7638,222
1979,MA,2924,2837,87
1979,MI,15002,14374,628
1979,MN,2094,2017,77
1979,MS,3508,3401,107
1979,MO,5279,5076,203
1979,MT,715,695,20
1979,NE,1291,1228,63
1979,NV,1566,1475,91
1979,NH,316,311,5
1979,NJ,5852,5664,188
1979,NM,1556,1509,47
1979,NY,20856,20259,597
1979,NC,14255,13691,564
1979,ND,186,184,2
1979,OH,13360,12762,598
1979,OK,4250,4073,177
1979,OR,3179,3059,120
1979,PA,7772,7524,248
1979,RI,738,721,17
1979,SC,7643,7327,316
1979,SD,562,538,24
1979,TN,6629,6346,283
1979,TX,26522,25355,1167
1979,UT,960,926,34
1979,VT,431,420,11
1979,VA,8449,8148,301
1979,WA,4342,4137,205
1979,WV,1251,1218,33
1979,WI,3677,3532,145
1979,WY,504,474,30
1979,ST,288086,276627,11459
1979,US,314457,301462,12995
1979,FE,26371,24835,1536
1980,AL,6543,6278,265
1980,AK,822,801,21
1980,AZ,4372,4153,219
1980,AR,2911,2805,106
1980,CA,24569,23253,1316
1980,CO,2629,2560,69
1980,CT,4308,4102,206
1980,DE,1474,1417,57
1980,DC,3145,3075,70
1980,FL,20735,19896,839
1980,GA,12178,11610,568
1980,HI,985,954,31
1980,ID,817,792,25
1980,IL,11899,11553,346
1980,IN,6683,6442,241
1980,IA,2481,2388,93
1980,KS,2494,2381,113
1980,KY,3588,3463,125
1980,LA,8889,8586,303
1980,ME,814,793,21
1980,MD,7731,7502,229
1980,MA,3185,3079,106
1980,MI,15124,14490,634
1980,MN,2001,1936,65
1980,MS,3902,3785,117
1980,MO,5726,5490,236
1980,MT,739,714,25
1980,NE,1446,1390,56
1980,NV,1839,1739,100
1980,NH,326,321,5
1980,NJ,5884,5686,198
1980,NM,1279,1222,57
1980,NY,21815,21202,613
1980,NC,15513,14897,616
1980,ND,253,251,2
1980,OH,13489,12857,632
1980,OK,4796,4549,247
1980,OR,3177,3077,100
1980,PA,8171,7899,272
1980,RI,813,787,26
1980,SC,7862,7535,327
1980,SD,635,617,18
1980,TN,7022,6686,336
1980,TX,29892,28671,1221
1980,UT,932,905,27
1980,VT,480,464,16
1980,VA,8920,8617,303
1980,WA,4399,4209,190
1980,WV,1257,1227,30
1980,WI,3980,3826,154
1980,WY,534,505,29
1980,ST,305458,293437,12021
1980,US,329821,316401,13420
1980,FE,24363,22964,1399
1981,AL,7657,7339,318
1981,AK,1024,977,47
1981,AZ,5223,4986,237
1981,AR,3328,3197,131
1981,CA,29202,27775,1427
1981,CO,2772,2691,81
1981,CT,5263,5011,252
1981,DE,1712,1637,75
1981,DC,3479,3363,116
1981,FL,23589,22595,994
1981,GA,12444,11839,605
1981,HI,1207,1158,49
1981,ID,957,932,25
1981,IL,14328,13870,458
1981,IN,8022,7736,286
1981,IA,2670,2556,114
1981,KS,2770,2625,145
1981,KY,3993,3863,130
1981,LA,9415,9071,344
1981,ME,992,966,26
1981,MD,9335,9031,304
1981,MA,3889,3697,192
1981,MI,15157,14527,630
1981,MN,1966,1910,56
1981,MS,4624,4475,149
1981,MO,6489,6224,265
1981,MT,831,807,24
1981,NE,1488,1426,62
1981,NV,2116,2030,86
1981,NH,398,391,7
1981,NJ,7011,6725,286
1981,NM,1497,1407,90
1981,NY,25494,24728,766
1981,NC,15770,15133,637
1981,ND,280,277,3
1981,OH,14968,14205,763
1981,OK,5281,5006,275
1981,OR,3295,3192,103
1981,PA,9365,9053,312
1981,RI,962,937,25
1981,SC,8538,8177,361
1981,SD,693,664,29
1981,TN,7897,7502,395
1981,TX,31502,30050,1452
1981,UT,1140,1099,41
1981,VT,534,519,15
1981,VA,9388,9040,348
1981,WA,5336,5124,212
1981,WV,1565,1528,37
1981,WI,4385,4216,169
1981,WY,556,532,24
1981,ST,341797,327819,13978
1981,US,369930,354393,15537
1981,FE,28133,26574,1559
1982,AL,9233,8757,476
1982,AK,1322,1276,46
1982,AZ,6069,5788,281
1982,AR,3922,3755,167
1982,CA,34640,32987,1653
1982,CO,3042,2923,119
1982,CT,5156,4952,204
1982,DE,2068,1969,99
1982,DC,4081,3902,179
1982,FL,27830,26584,1246
1982,GA,14405,13745,660
1982,HI,1461,1386,75
1982,ID,1044,1013,31
1982,IL,14293,13806,487
1982,IN,8790,8440,350
1982,IA,2829,2708,121
1982,KS,3078,2918,160
1982,KY,4031,3872,159
1982,LA,10930,10514,416
1982,ME,1110,1080,30
1982,MD,11617,11251,366
1982,MA,4334,4117,217
1982,MI,14913,14289,624
1982,MN,2081,2008,73
1982,MS,5484,5298,186
1982,MO,7445,7051,394
1982,MT,914,885,29
1982,NE,1739,1658,81
1982,NV,2753,2634,119
1982,NH,445,435,10
1982,NJ,8191,7867,324
1982,NM,1718,1635,83
1982,NY,27945,27127,818
1982,NC,16569,15873,696
1982,ND,322,312,10
1982,OH,17317,16417,900
1982,OK,6500,6174,326
1982,OR,3900,3760,140
1982,PA,10508,10180,328
1982,RI,1037,1013,24
1982,SC,9137,8732,405
1982,SD,791,748,43
1982,TN,7869,7489,380
1982,TX,36149,34472,1677
1982,UT,1216,1169,47
1982,VT,599,582,17
1982,VA,10079,9715,364
1982,WA,6264,6018,246
1982,WV,1547,1500,47
1982,WI,4714,4517,197
1982,WY,702,674,28
1982,ST,384133,367975,16158
1982,US,413806,396021,17785
1982,FE,29673,28046,1627
1983,AL,9856,9375,481
1983,AK,1631,1557,74
1983,AZ,6889,6566,323
1983,AR,4246,4050,196
1983,CA,39373,37353,2020
1983,CO,3244,3108,136
1983,CT,5474,5193,281
1983,DE,2198,2091,107
1983,DC,4344,4117,227
1983,FL,26334,25154,1180
1983,GA,15358,14608,750
1983,HI,1700,1591,109
1983,ID,1187,1147,40
1983,IL,15595,15038,557
1983,IN,9296,8907,389
1983,IA,2814,2700,114
1983,KS,3705,3500,205
1983,KY,4773,4581,192
1983,LA,12812,12279,533
1983,ME,1082,1049,33
1983,MD,12617,12208,409
1983,MA,4482,4244,238
1983,MI,14510,13850,660
1983,MN,2113,2046,67
1983,MS,5586,5381,205
1983,MO,8103,7793,310
1983,MT,903,879,24
1983,NE,1629,1571,58
1983,NV,3188,3024,164
1983,NH,479,465,14
1983,NJ,9192,8850,342
1983,NM,1977,1906,71
1983,NY,30510,29679,831
1983,NC,15395,14806,589
1983,ND,410,400,10
1983,OH,18007,17030,977
1983,OK,7480,7031,449
1983,OR,3952,3807,145
1983,PA,11767,11370,397
1983,RI,1157,1120,37
1983,SC,9576,9150,426
1983,SD,826,785,41
1983,TN,8201,7803,398
1983,TX,35259,33789,1470
1983,UT,1274,1223,51
1983,VT,497,488,9
1983,VA,10093,9712,381
1983,WA,6658,6416,242
1983,WV,1611,1553,58
1983,WI,4845,4632,213
1983,WY,721,688,33
1983,ST,404929,387663,17266
1983,US,436855,417835,19020
1983,FE,31926,30172,1754
1984,AL,10482,9961,521
1984,AK,1967,1888,79
1984,AZ,7845,7482,363
1984,AR,4482,4286,196
1984,CA,43197,40892,2305
1984,CO,3231,3091,140
1984,CT,5718,5431,287
1984,DE,2202,2095,107
1984,DC,4521,4315,206
1984,FL,26914,25764,1150
1984,GA,15404,14641,763
1984,HI,1965,1858,107
1984,ID,1253,1203,50
1984,IL,17114,16479,635
1984,IN,9328,8933,395
1984,IA,2836,2733,103
1984,KS,4244,4009,235
1984,KY,4820,4617,203
1984,LA,13659,13051,608
1984,ME,1032,1005,27
1984,MD,13124,12683,441
1984,MA,4883,4619,264
1984,MI,14604,13921,683
1984,MN,2167,2088,79
1984,MS,6115,5855,260
1984,MO,8770,8425,345
1984,MT,964,929,35
1984,NE,1655,1582,73
1984,NV,3488,3260,228
1984,NH,581,567,14
1984,NJ,10363,9995,368
1984,NM,2129,2044,85
1984,NY,33109,32091,1018
1984,NC,16371,15669,702
1984,ND,432,420,12
1984,OH,18619,17601,1018
1984,OK,7872,7400,472
1984,OR,4224,4054,170
1984,PA,13090,12615,475
1984,RI,1221,1188,33
1984,SC,9892,9455,437
1984,SD,921,889,32
1984,TN,7307,6993,314
1984,TX,36682,34987,1695
1984,UT,1504,1456,48
1984,VT,501,488,13
1984,VA,10839,10406,433
1984,WA,6821,6567,254
1984,WV,1579,1528,51
1984,WI,4974,4747,227
1984,WY,724,685,39
1984,ST,427739,408941,18798
1984,US,462002,441208,20794
1984,FE,34263,32267,1996
1985,AL,11015,10453,562
1985,AK,2329,2207,122
1985,AZ,8531,8134,397
1985,AR,4611,4394,217
1985,CA,50158,47248,2910
1985,CO,3386,3238,148
1985,CT,6149,5826,323
1985,DE,2553,2422,131
1985,DC,6404,6176,228
1985,FL,28600,27296,1304
1985,GA,16262,15427,835
1985,HI,2111,1963,148
1985,ID,1344,1293,51
1985,IL,18634,17961,673
1985,IN,10056,9605,451
1985,IA,2687,2577,110
1985,KS,4732,4459,273
1985,KY,4981,4768,213
1985,LA,13890,13280,610
1985,ME,1317,1285,32
1985,MD,13005,12594,411
1985,MA,5390,5079,311
1985,MI,17755,16941,814
1985,MN,2343,2252,91
1985,MS,6392,6103,289
1985,MO,9796,9415,381
1985,MT,1129,1090,39
1985,NE,1814,1744,70
1985,NV,3771,3512,259
1985,NH,683,665,18
1985,NJ,11335,10947,388
1985,NM,2313,2187,126
1985,NY,34507,33422,1085
1985,NC,17344,16597,747
1985,ND,422,413,9
1985,OH,20864,19711,1153
1985,OK,8330,7823,507
1985,OR,4376,4188,188
1985,PA,14227,13727,500
1985,RI,1306,1267,39
1985,SC,10510,10009,501
1985,SD,1049,1008,41
1985,TN,7127,6825,302
1985,TX,37532,35938,1594
1985,UT,1633,1570,63
1985,VT,677,660,17
1985,VA,12073,11604,469
1985,WA,6919,6689,230
1985,WV,1725,1658,67
1985,WI,5425,5174,251
1985,WY,762,716,46
1985,ST,462284,441540,20744
1985,US,502507,479359,23148
1985,FE,40223,37819,2404
1986,AL,11710,11094,616
1986,AK,2460,2344,116
1986,AZ,9434,8948,486
1986,AR,4701,4477,224
1986,CA,59484,55920,3564
1986,CO,3804,3627,177
1986,CT,6905,6510,395
1986,DE,2833,2677,156
1986,DC,6618,6369,249
1986,FL,32237,30602,1635
1986,GA,16922,16025,897
1986,HI,2180,2044,136
1986,ID,1448,1387,61
1986,IL,19456,18692,764
1986,IN,10175,9771,404
1986,IA,2777,2653,124
1986,KS,5345,5048,297
1986,KY,5288,5067,221
1986,LA,14300,13673,627
1986,ME,1316,1289,27
1986,MD,13326,12882,444
1986,MA,5636,5310,326
1986,MI,20742,19724,1018
1986,MN,2462,2365,97
1986,MS,6747,6443,304
1986,MO,10309,9856,453
1986,MT,1111,1069,42
1986,NE,2044,1959,85
1986,NV,4551,4326,225
1986,NH,782,760,22
1986,NJ,12020,11603,417
1986,NM,2416,2273,143
1986,NY,38449,37123,1326
1986,NC,17698,16868,830
1986,ND,421,410,11
1986,OH,22463,21250,1213
1986,OK,9708,9021,687
1986,OR,4770,4532,238
1986,PA,15201,14610,591
1986,RI,1358,1312,46
1986,SC,11676,11075,601
1986,SD,1081,1032,49
1986,TN,7591,7178,413
1986,TX,38534,36789,1745
1986,UT,1776,1704,72
1986,VT,697,686,11
1986,VA,12930,12442,488
1986,WA,6603,6381,222
1986,WV,1472,1405,67
1986,WI,5736,5451,285
1986,WY,861,810,51
1986,ST,500564,476866,23698
1986,US,544972,518441,26531
1986,FE,44408,41575,2833
1987,AL,12827,12095,732
1987,AK,2528,2408,120
1987,AZ,10948,10339,609
1987,AR,5441,5179,262
1987,CA,66975,62823,4152
1987,CO,4808,4565,243
1987,CT,7511,7059,452
1987,DE,2982,2816,166
1987,DC,7645,7295,350
1987,FL,32445,30764,1681
1987,GA,18575,17647,928
1987,HI,2264,2106,158
1987,ID,1435,1359,76
1987,IL,19850,19071,779
1987,IN,10827,10336,491
1987,IA,2851,2729,122
1987,KS,5781,5505,276
1987,KY,6437,6144,293
1987,LA,15375,14702,673
1987,ME,1299,1270,29
1987,MD,13467,13010,457
1987,MA,6268,5859,409
1987,MI,23879,22696,1183
1987,MN,2546,2431,115
1987,MS,6880,6557,323
1987,MO,11357,10728,629
1987,MT,1207,1160,47
1987,NE,2086,1991,95
1987,NV,4434,4153,281
1987,NH,867,849,18
1987,NJ,15969,15382,587
1987,NM,2670,2533,137
1987,NY,40842,39355,1487
1987,NC,17218,16410,808
1987,ND,430,423,7
1987,OH,24240,22945,1295
1987,OK,9639,8945,694
1987,OR,5457,5152,305
1987,PA,16267,15588,679
1987,RI,1428,1348,80
1987,SC,12664,12003,661
1987,SD,1133,1080,53
1987,TN,7639,7249,390
1987,TX,38821,37279,1542
1987,UT,1853,1778,75
1987,VT,759,745,14
1987,VA,13321,12822,499
1987,WA,6131,5911,220
1987,WV,1449,1380,69
1987,WI,6143,5844,299
1987,WY,916,870,46
1987,ST,536784,510688,26096
1987,US,585084,555961,29123
1987,FE,48300,45273,3027
1988,AL,12610,11858,752
1988,AK,2588,2465,123
1988,AZ,12095,11381,714
1988,AR,5519,5224,295
1988,CA,76171,71278,4893
1988,CO,5765,5488,277
1988,CT,8005,7455,550
1988,DE,3197,3020,177
1988,DC,8831,8459,372
1988,FL,34732,32721,2011
1988,GA,18787,17858,929
1988,HI,2300,2128,172
1988,ID,1581,1497,84
1988,IL,21081,20182,899
1988,IN,11406,10904,502
1988,IA,3034,2894,140
1988,KS,5817,5540,277
1988,KY,7119,6771,348
1988,LA,16242,15573,669
1988,ME,1277,1241,36
1988,MD,14276,13760,516
1988,MA,6757,6310,447
1988,MI,27612,26279,1333
1988,MN,2799,2671,128
1988,MS,7384,7030,354
1988,MO,12176,11546,630
1988,MT,1272,1214,58
1988,NE,2156,2059,97
1988,NV,4881,4539,342
1988,NH,1019,995,24
1988,NJ,16936,16232,704
1988,NM,2825,2675,150
1988,NY,44560,42800,1760
1988,NC,17078,16295,783
1988,ND,466,458,8
1988,OH,26462,24885,1577
1988,OK,10448,9717,731
1988,OR,5991,5644,347
1988,PA,17900,17133,767
1988,RI,1906,1782,124
1988,SC,13888,13089,799
1988,SD,1020,974,46
1988,TN,7732,7330,402
1988,TX,40437,38789,1648
1988,UT,1961,1872,89
1988,VT,820,792,28
1988,VA,14184,13596,588
1988,WA,5816,5567,249
1988,WV,1455,1389,66
1988,WI,6353,6071,282
1988,WY,945,880,65
1988,ST,577672,548310,29362
1988,US,627600,594996,32604
1988,FE,49928,46686,3242
1989,AL,13907,13062,845
1989,AK,2744,2583,161
1989,AZ,13251,12471,780
1989,AR,6649,6206,443
1989,CA,87297,81297,6000
1989,CO,6908,6513,395
1989,CT,9301,8654,647
1989,DE,3458,3234,224
1989,DC,9954,9367,587
1989,FL,39999,37448,2551
1989,GA,20885,19775,1110
1989,HI,2459,2287,172
1989,ID,1850,1738,112
1989,IL,24712,23693,1019
1989,IN,12341,11717,624
1989,IA,3584,3405,179
1989,KS,5616,5370,246
1989,KY,8289,7842,447
1989,LA,17257,16559,698
1989,ME,1455,1409,46
1989,MD,16514,15786,728
1989,MA,7524,7026,498
1989,MI,31639,30053,1586
1989,MN,3103,2944,159
1989,MS,7911,7509,402
1989,MO,13921,13203,718
1989,MT,1328,1264,64
1989,NE,2393,2250,143
1989,NV,5112,4674,438
1989,NH,1166,1128,38
1989,NJ,19439,18553,886
1989,NM,3158,2994,164
1989,NY,51232,48767,2465
1989,NC,17454,16611,843
1989,ND,451,430,21
1989,OH,30538,28543,1995
1989,OK,11608,10633,975
1989,OR,6156,5816,340
1989,PA,20469,19525,944
1989,RI,2479,2274,205
1989,SC,15720,14791,929
1989,SD,1256,1175,81
1989,TN,10630,10159,471
1989,TX,44022,41953,2069
1989,UT,2394,2285,109
1989,VT,905,869,36
1989,VA,16477,15683,794
1989,WA,6928,6597,331
1989,WV,1536,1463,73
1989,WI,6788,6485,303
1989,WY,1026,943,83
1989,ST,653193,617016,36177
1989,US,712364,671752,40612
1989,FE,59171,54736,4435
1990,AL,15665,14710,955
1990,AK,2622,2494,128
1990,AZ,14261,13426,835
1990,AR,7322,6887,435
1990,CA,97309,90807,6502
1990,CO,7671,7238,433
1990,CT,10500,9817,683
1990,DE,3471,3245,226
1990,DC,9947,9341,606
1990,FL,44387,41723,2664
1990,GA,22411,21168,1243
1990,HI,2533,2362,171
1990,ID,1961,1841,120
1990,IL,27516,26333,1183
1990,IN,12736,12055,681
1990,IA,3967,3755,212
1990,KS,5775,5491,284
1990,KY,9023,8544,479
1990,LA,18599,17824,775
1990,ME,1523,1479,44
1990,MD,17848,16971,877
1990,MA,8345,7749,596
1990,MI,34267,32579,1688
1990,MN,3176,3017,159
1990,MS,8375,7927,448
1990,MO,14943,14166,777
1990,MT,1425,1349,76
1990,NE,2403,2258,145
1990,NV,5322,4916,406
1990,NH,1342,1298,44
1990,NJ,21128,20087,1041
1990,NM,3187,2994,193
1990,NY,54895,52204,2691
